Mods count: 209
 
                               jar name                                 | notes |             mod id             |             mod name             |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
------------------------------------------------------------------------+-------+--------------------------------+----------------------------------+------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.20.jar (modloader)                                |       | forge                          | forge                            | fmlloader-1.20.1-47.4.20.jar |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
AdvancedAE-1.2.5-1.20.1.jar                                             |       | advanced_ae                    | Advanced AE                      | 1.2.5-1.20.1                 | mixins.aae.json, mixins.aae.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                                      | f96d8cb241f416cc116164e9da9b9f8ce5b7a0f1 | 1879794982     
ae2ct-1.20.1-1.1.1.jar                                                  |       | ae2ct                          | ae2CraftingTree                  | 1.20.1-1.1.1                 | ae2ct.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | e6c9d9c2cd9c52aec6364d87e78924f6165b7998 | 865526758      
ae2insertexportcard-1.20.1-1.3.0.jar                                    |       | ae2insertexportcard            | AE2 Insert Export Card           | 1.20.1-1.3.0                 | ae2insertexportcard.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              | df8cbd8e49e001696a3d3e2c8352c3bb310e8c6f | 2505693449     
AE2NetworkAnalyzer-1.20-1.0.6-forge.jar                                 |       | ae2netanalyser                 | AE2NetworkAnalyzer               | 1.20-1.0.6-forge             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 7616ab6cf999f1844edc87433f60dfe45d829ce8 | 134614876      
ae2wtlib-15.3.3-forge.jar                                               |       | ae2wtlib                       | AE2WTLib                         | 15.3.3-forge                 | ae2wtlib.mixins.refmap.json, ae2wtlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | 1a546af04844677542b6914191783c7de15364fc | 3724438651     
AEAdditions-1.20.1-5.1.0.jar                                            |       | ae2additions                   | AE Additions                     | 5.1.0                        | ae2additions.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 9d28c33486b3847da965836f5cd6e243336567cf | 3940280781     
AEInfinityBooster-1.20.1-1.0.0+51.jar                                   |       | aeinfinitybooster              | AEInfinityBooster                | 1.20.1-1.0.0+51              | AEInfinityBooster.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 75a5e5d6b656034f0e33f627899c58de5b7c6e12 | 3802249709     
aewireless-1.1.5-NewGui.jar                                             |       | aewireless                     | AE Wireless                      | 1.1.5-NewGui                 | aewireless.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 98939f7e9a82da785b770f2f52f1b81345402538 | 4160332439     
almostunified-forge-1.20.1-0.11.0.jar                                   |       | almostunified                  | AlmostUnified                    | 1.20.1-0.11.0                | almostunified-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 24943e5efe95c10367259a7bbd13874ca56ebf0a | 2421938229     
appliedenergistics2-forge-15.4.10.jar                                   |       | ae2                            | Applied Energistics 2            | 15.4.10                      | ae2.mixins.refmap.json, ae2.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                      | ac255a120499f79f8deade474da09e3c00ff9bad | 3615341742     
Architects-Palette-1.20.1-1.3.6.1.jar                                   |       | architects_palette             | Architect's Palette              | 1.3.6.1                      | architects_palette.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                               | a8f4ca56f23007ad3a34d9fcbda2f241d86c314b | 3848188487     
architectury-9.2.14-forge.jar                                           |       | architectury                   | Architectury                     | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | a52918a500ff421180a1cbd1a0cabee712134ec4 | 98480002       
athena-forge-1.20.1-3.1.2.jar                                           |       | athena                         | Athena                           | 3.1.2                        | athena-forge.mixins.json, athena.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2acee24454af859988a691f0506271a465f68f7b | 3211401917     
BadMobs-1.20.1-19.0.4.jar                                               |       | badmobs                        | BadMobs                          | 19.0.4                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 100f29f6c425688bcbd77d1a3b99b12e18f019cd | 3818215639     
balm-forge-1.20.1-7.3.38-all.jar                                        |       | balm                           | Balm                             | 7.3.38                       | balm.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 515905f87268f1eb5af2a9878a84914517efe552 | 3717034118     
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                  |       | kuma_api                       | KumaAPI                          | 20.1.12                      | kuma_api.forge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
betterfpsdist-1.20.1-6.0.jar                                            |       | betterfpsdist                  | betterfpsdist mod                | 1.20.1-6.0                   | betterfpsdist.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 8e4fe2cd85c08c24ab363b47a63d1c872fc3cc1e | 514915357      
betterp2p-1.5.0-forge.jar                                               |       | betterp2p                      | Better P2P                       | 1.5.0                        | betterp2p-common.mixins.json, betterp2p.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                          | 528ccd37ba0dad755e875601bb3326bdeb0f3d4a | 263356958      
BHMenu-Forge-1.20.1-2.4.3.jar                                           |       | bhmenu                         | BHMenu                           | 2.4.3                        | bhmenu.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | bb4d7c697ef9b0445d02c817d43b07c4efc62a5c | 404663436      
bingus-1.20.1.jar                                                       |       | bingus                         | The Official Bingus Mod          | 2.0.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 107fd3db2328b64bc44be27ef501165e205a5c19 | 1652895342     
